id,name,address,market,submarket,sale_date,class,units,year_built,sf,avg_sf,sale_price,cap_rate,ppu,psf,buyer,seller,notes,lat,lng
326,Aspen Ridge Apartments,"1440 S Neltnor Blvd, West Chicago, IL",Chicago,Chicago Suburbs,2026-03-11,,253,1967.0,204930.0,810.0,44500000.0,,175889.0,217.15,Bayshore,Zinger Property Group/M Group,,41.861836409935,-88.194897412014
327,Flats at Gladstone,"148 Gladstone Dr, Glendale Heights, IL",Chicago,Chicago Suburbs,2026-03-24,,168,1977.0,161952.0,964.0,24100000.0,5.25,143452.0,148.81,Bender / Eastham,Morgan Properties,,41.93444941171,-88.083261372941
328,Quincy Station,"1 W Quincy St, Westmont, IL",Chicago,Chicago Suburbs,2026-02-18,,94,2022.0,85352.0,908.0,37000000.0,5.25,393617.0,433.5,Banner Real Estate,Holladay,,41.795160884161,-87.975386008991
329,Fifty9 Grove,"30W041 Flamenco Ct, Naperville, IL",Chicago,Chicago Suburbs,2026-02-05,,224,1973.0,171360.0,765.0,43000000.0,5.75,191964.0,250.93,Solomon Organization,Orion,,41.786993459937,-88.20630027038
330,ReNew Lake Arlington,"850 Corey Ln, Wheeling, IL",Chicago,Chicago Suburbs,2026-01-30,,378,1972.0,304668.0,806.0,51000000.0,6.0,134921.0,167.4,FPA Multifamily,VIP Apartments,,42.122967826984,-87.952033180695
331,The Eclipse @ 1450,"1450 Busse Rd, Mount Prospect, IL",Chicago,Chicago Suburbs,2026-01-15,,222,1965.0,176268.0,794.0,40045500.0,6.0,180385.0,227.19,Palatine Capital Partners,Ameritus,,42.041073658076,-87.960833622002
332,Arrowhead Apartments,"1950 N Cambridge Ct, Palatine, IL",Chicago,Chicago Suburbs,2026-01-01,,200,1978.0,225400.0,1127.0,31400000.0,6.0,157000.0,139.31,Artisan / Eastham Capital,Hispanic Housing Development,,42.147131575927,-88.012438656914
333,Fox Pointe,"2074 Fox Pointe Cir, Aurora, IL",Chicago,Chicago Suburbs,2026-01-01,,248,2000.0,242048.0,976.0,40100000.0,6.0,161694.0,165.67,Palatine Capital Partners,Ameritus,,41.735091751014,-88.269377995115
334,Woodlands of Crest Hill,"1615 Arbor Ln, Crest Hill, IL",Chicago,Chicago Suburbs,2026-01-01,,730,1972.0,473770.0,649.0,110000000.0,7.0,150685.0,232.18,Bayshore Properties,Osso Capital,,41.552249037531,-88.113050001363
335,Ovaltine Court,"1 Ovaltine Ct, Villa Park, IL",Chicago,Chicago Suburbs,2025-12-22,,344,2001.0,320952.0,933.0,93700000.0,5.7,272384.0,291.94,S2 Capital,Osso Capital,,41.8868669,-87.9678528
